Name,StartTime,EndTime,BodyWeight,Exercise,Equipment,Reps,Weight,Time,Distance,Status,IsWarmup,RPE,RIR,Categories,Note
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Seitenheben (Masch.),Machine,7,"27,5",,,Done,false,,,"Deltoids,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Seitenheben (Masch.),Machine,6,"27,5",,,Done,false,,,"Deltoids,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Seitenheben (Masch.),Machine,5,"25,0",,,Done,false,,,"Deltoids,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Flys (Masch.),Machine,6,"55,0",,,Done,false,,,"Chest,Deltoids",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Flys (Masch.),Machine,5,"50,0",,,Done,false,,,"Chest,Deltoids",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Flys (Masch.),Machine,5,"50,0",,,Done,false,,,"Chest,Deltoids",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Klimmzüge (Breit),None,8,"80,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Klimmzüge (Breit),None,6,"80,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Schrägbankdrücken (Multipresse),Machine,7,"40,0",,,Done,false,,,"Chest,Deltoids,Triceps",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0",Schrägbankdrücken (Multipresse),Machine,6,"40,0",,,Done,false,,,"Chest,Deltoids,Triceps",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0","Rudermaschine (Brustgestützt, Eng)",Machine,7,"55,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Torso 1,2026-06-01T09:54:00Z,2026-06-01T10:57:00Z,"80,0","Rudermaschine (Brustgestützt, Eng)",Machine,8,"52,5",,,Done,false,,,"Lats,Biceps,Trapezius",
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Preacher Curls (Masch.),Machine,7,"30,0",,,Done,false,,,Biceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Preacher Curls (Masch.),Machine,5,"30,0",,,Done,false,,,Biceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Preacher Curls (Masch.),Machine,5,"27,5",,,Done,false,,,Biceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinbeuger (Sitzend),Machine,9,"55,0",,,Done,false,,,Hamstrings,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinbeuger (Sitzend),Machine,9,"55,0",,,Done,false,,,Hamstrings,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinbeuger (Sitzend),Machine,10,"55,0",,,Done,false,,,Hamstrings,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Squat (LH),Barbell,8,"50,0",,,Done,false,,,"Quadriceps,Gluteals,Hamstrings,Adductors,Back (Lower)",
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Squat (LH),Barbell,6,"50,0",,,Done,false,,,"Quadriceps,Gluteals,Hamstrings,Adductors,Back (Lower)",
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinstrecker (Masch.),Machine,9,"35,0",,,Done,false,,,Quadriceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinstrecker (Masch.),Machine,10,"40,0",,,Done,false,,,Quadriceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Beinstrecker (Masch.),Machine,10,"40,0",,,Done,false,,,Quadriceps,
Limbs 1,2026-06-02T09:00:40Z,2026-06-02T10:37:08Z,"80,0",Hyperextensions,None,6,"15,0",,,Done,false,,,"Back (Lower),Gluteals,Hamstrings",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Klimmzüge (Breit),None,6,"80,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Klimmzüge (Breit),None,7,"80,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Klimmzüge (Breit),None,5,"80,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Schulterdrücken (Masch.),Machine,7,"30,0",,,Done,false,,,"Deltoids,Triceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Schulterdrücken (Masch.),Machine,6,"30,0",,,Done,false,,,"Deltoids,Triceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,7,"45,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,6,"45,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,4,"40,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Flys (Masch.),Machine,6,"55,0",,,Done,false,,,"Chest,Deltoids",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Flys (Masch.),Machine,5,"52,5",,,Done,false,,,"Chest,Deltoids",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Seitenheben (Masch.),Machine,6,"30,0",,,Done,false,,,"Deltoids,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Seitenheben (Masch.),Machine,7,"27,5",,,Done,false,,,"Deltoids,Trapezius",
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Preacher Curls (Masch.),Machine,8,"30,0",,,Done,false,,,Biceps,
Upper,2026-06-04T13:50:57Z,2026-06-04T15:06:08Z,"80,0",Preacher Curls (Masch.),Machine,5,"30,0",,,Done,false,,,Biceps,
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,7,"45,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,5,"45,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",T-Bar Rudern (Brustgestützt),Machine,4,"45,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",Latziehen (Eng),Cables,9,"57,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",Latziehen (Eng),Cables,8,"57,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",Latziehen (Eng),Cables,8,"57,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0","Rudermaschine (Brustgestützt, Eng)",Machine,10,"50,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0","Rudermaschine (Brustgestützt, Eng)",Machine,8,"50,0",,,Done,false,,,"Lats,Biceps,Trapezius",
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",Preacher Curls (Masch.),Machine,8,"30,0",,,Done,false,,,Biceps,
Pull,2026-06-08T09:42:10Z,2026-06-08T11:11:30Z,"80,0",Preacher Curls (Masch.),Machine,3,"30,0",,,Done,false,,,Biceps,
